datetime,Close,Pos,Account,AccountCum,Openorder,Closeorder
2013/10/31,1392.0,1.0,-78.0,1883.0,"{'Vol': 1, 'Openpos': 1470.0, 'Type': 1, 'Time': '2013/10/31'}","{'Vol': 1, 'Closepos': 1392.0, 'Type': -1, 'Time': '2013/10/31'}"
2013/11/1,1498.0,-1.0,-0.0,1883.0,"{'Vol': 1, 'Openpos': 1498.0, 'Type': -1, 'Time': '2013/11/1'}","{'Vol': 1, 'Closepos': 1498.0, 'Type': 1, 'Time': '2013/11/1'}"
2013/11/4,1498.0,0.0,0.0,1883.0,0,0
2013/11/5,1498.0,0.0,0.0,1883.0,0,0
2013/11/6,1498.0,0.0,0.0,1883.0,0,0
2013/11/7,1498.0,0.0,0.0,1883.0,0,0
2013/11/8,1498.0,0.0,0.0,1883.0,0,0
2013/11/11,1498.0,0.0,0.0,1883.0,0,0
2013/11/12,1498.0,0.0,0.0,1883.0,0,0
2013/11/13,1498.0,0.0,0.0,1883.0,0,0
2013/11/14,1498.0,0.0,0.0,1883.0,0,0
2013/11/15,1492.0,1.0,0.0,1883.0,"{'Vol': 1, 'Openpos': 1492.0, 'Type': 1, 'Time': '2013/11/15'}","{'Vol': 1, 'Closepos': 1492.0, 'Type': -1, 'Time': '2013/11/15'}"
2013/11/18,1514.0,1.0,37.0,1920.0,"{'Vol': 1, 'Openpos': 1477.0, 'Type': 1, 'Time': '2013/11/18'}","{'Vol': 1, 'Closepos': 1514.0, 'Type': -1, 'Time': '2013/11/18'}"
2013/11/19,1500.0,0.0,0.0,1920.0,0,0
2013/11/20,1500.0,0.0,0.0,1920.0,0,0
2013/11/21,1500.0,0.0,0.0,1920.0,0,0
2013/11/22,1500.0,0.0,0.0,1920.0,0,0
2013/11/25,1500.0,0.0,0.0,1920.0,0,0
2013/11/26,1500.0,0.0,0.0,1920.0,0,0
2013/11/27,1500.0,0.0,0.0,1920.0,0,0
2013/11/28,1500.0,0.0,0.0,1920.0,0,0
2013/11/29,1500.0,0.0,0.0,1920.0,0,0
2013/12/2,1503.0,0.0,0.0,1920.0,0,0
2013/12/3,1503.0,0.0,0.0,1920.0,0,0
2013/12/4,1503.0,0.0,0.0,1920.0,0,0
2013/12/5,1520.0,-1.0,-0.0,1920.0,"{'Vol': 1, 'Openpos': 1520.0, 'Type': -1, 'Time': '2013/12/5'}","{'Vol': 1, 'Closepos': 1520.0, 'Type': 1, 'Time': '2013/12/5'}"
